_id,_key,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
stops/10850,10850,10850,Parkrose/ Sumner Transit Center ,parkrose/ sumner transit center ,Westbound stop in Portland (Stop ID 10850),45.558282,-122.565304,B,http://trimet.org/#tracker/stop/10850,0,,West,At
stops/10853,10853,10853,Parkrose/ Sumner Transit Center,parkrose/ sumner transit center,Eastbound stop in Portland (Stop ID 10853),45.558368,-122.564954,B,http://trimet.org/#tracker/stop/10853,0,,East,At
stops/10854,10854,10854,Parkrose/ Sumner Transit Center,parkrose/ sumner transit center,Eastbound stop in Portland (Stop ID 10854),45.558622,-122.564652,B,http://trimet.org/#tracker/stop/10854,0,,East,At
stops/10855,10855,10855,Parkrose/ Sumner Transit Center ,parkrose/ sumner transit center ,Eastbound stop in Portland (Stop ID 10855),45.558499,-122.564796,B,http://trimet.org/#tracker/stop/10855,0,,East,At
stops/10858,10858,10858,Gresham Transit Center ,gresham transit center ,Eastbound stop in Gresham (Stop ID 10858),45.50287,-122.42659,B,http://trimet.org/#tracker/stop/10858,0,,East,At
stops/10859,10859,10859,Gresham Transit Center ,gresham transit center ,Westbound stop in Gresham (Stop ID 10859),45.503008,-122.42684,B,http://trimet.org/#tracker/stop/10859,0,,West,At
stops/10860,10860,10860,Gateway Transit Center ,gateway transit center ,Southbound stop in Portland (Stop ID 10860),45.530807,-122.563444,B,http://trimet.org/#tracker/stop/10860,0,,South,At
stops/10861,10861,10861,Gateway Transit Center ,gateway transit center ,Southbound stop in Portland (Stop ID 10861),45.530652,-122.563385,B,http://trimet.org/#tracker/stop/10861,0,,South,At
stops/10862,10862,10862,Gateway Transit Center ,gateway transit center ,Southbound stop in Portland (Stop ID 10862),45.530483,-122.563324,B,http://trimet.org/#tracker/stop/10862,0,,South,At
stops/10863,10863,10863,Gateway Transit Center ,gateway transit center ,Southbound stop in Portland (Stop ID 10863),45.530039,-122.563188,B,http://trimet.org/#tracker/stop/10863,0,,South,At
stops/10865,10865,10865,SW 36th & Capitol Hwy,southwest 36th & capitol highway,Southbound stop in Portland (Stop ID 10865),45.467829,-122.714187,B,http://trimet.org/#tracker/stop/10865,0,,South,Nearside
stops/10866,10866,10866,NE 9th & Halsey,northeast 9th & haulzy,Northbound stop in Portland (Stop ID 10866),45.533492,-122.656463,B,http://trimet.org/#tracker/stop/10866,0,,North,Nearside
stops/10867,10867,10867,NE 9th & Weidler,northeast 9th & weidler,Southbound stop in Portland (Stop ID 10867),45.534439,-122.656687,B,http://trimet.org/#tracker/stop/10867,0,,South,Nearside
stops/10868,10868,10868,Hollywood Transit Center ,hollywood transit center ,Eastbound stop in Portland (Stop ID 10868),45.533144,-122.620572,B,http://trimet.org/#tracker/stop/10868,0,,East,At
stops/10869,10869,10869,Hollywood Transit Center ,hollywood transit center ,Eastbound stop in Portland (Stop ID 10869),45.533228,-122.620613,B,http://trimet.org/#tracker/stop/10869,0,,East,At
stops/10870,10870,10870,Hollywood Transit Center ,hollywood transit center ,Eastbound stop in Portland (Stop ID 10870),45.533289,-122.620589,B,http://trimet.org/#tracker/stop/10870,0,,East,At
stops/10871,10871,10871,Hollywood Transit Center,hollywood transit center,Eastbound stop in Portland (Stop ID 10871),45.533351,-122.620566,B,http://trimet.org/#tracker/stop/10871,0,,East,At
stops/10872,10872,10872,Hollywood Transit Center,hollywood transit center,Northbound stop in Portland (Stop ID 10872),45.533528,-122.620249,B,http://trimet.org/#tracker/stop/10872,0,,North,At
stops/10873,10873,10873,SW Pacific Hwy & Main,"southwest pacific, highway & main",Eastbound stop in Tigard (Stop ID 10873),45.433404,-122.766038,B,http://trimet.org/#tracker/stop/10873,0,,East,Farside
stops/10874,10874,10874,NE Sandy & 185th Dr,northeast sandy & 185th drive,Westbound stop in Gresham (Stop ID 10874),45.545857,-122.472631,B,http://trimet.org/#tracker/stop/10874,0,,West,Farside
stops/10876,10876,10876,NE Multnomah & 9th,northeast multnomah & 9th,Westbound stop in Portland (Stop ID 10876),45.531573,-122.657075,B,http://trimet.org/#tracker/stop/10876,0,,West,Farside
stops/10877,10877,10877,E Burnside & NE 102nd,east burnside & northeast 102nd,Westbound stop in Portland (Stop ID 10877),45.522766,-122.55929,B,http://trimet.org/#tracker/stop/10877,0,,West,Farside
stops/10878,10878,10878,NE Kane & 29th (MHCC),northeast kane & 29th (mhcc),Southbound stop in Gresham (Stop ID 10878),45.515938,-122.398608,B,http://trimet.org/#tracker/stop/10878,0,,South,Farside
stops/10879,10879,10879,"NE Kane & 29th, MHCC","northeast kane & 29th, mhcc",Northbound stop in Gresham (Stop ID 10879),45.516018,-122.398297,B,http://trimet.org/#tracker/stop/10879,0,,North,Nearside
stops/10910,10910,10910,SE 103rd Dr & Stark,southeast 103rd drive & stark,Northbound stop in Portland (Stop ID 10910),45.519526,-122.557707,B,http://trimet.org/#tracker/stop/10910,0,,North,Farside
stops/10913,10913,10913,SW Walnut & 121st,southwest walnut & 121st,Eastbound stop in Tigard (Stop ID 10913),45.429636,-122.799452,B,http://trimet.org/#tracker/stop/10913,0,,East,Farside
stops/10932,10932,10932,SW Capitol & 40th,southwest capitol & 40th,Southbound stop in Portland (Stop ID 10932),45.4654,-122.717847,B,http://trimet.org/#tracker/stop/10932,0,,South,Nearside
stops/10933,10933,10933,SW Capitol & Garden Home,southwest capitol & garden home,Southbound stop in Portland (Stop ID 10933),45.466659,-122.716698,B,http://trimet.org/#tracker/stop/10933,0,,South,Farside
stops/10935,10935,10935,SW Capitol & Taylors Ferry,southwest capitol & taylors farey,Northbound stop in Portland (Stop ID 10935),45.45497,-122.720127,B,http://trimet.org/#tracker/stop/10935,0,,North,Farside
stops/10939,10939,10939,5600 Block SE International Way,fifty-six-hundred block southeast international way,Northbound stop in Milwaukie (Stop ID 10939),45.431685,-122.605918,B,http://trimet.org/#tracker/stop/10939,0,,North,At
stops/10940,10940,10940,NE Evergreen Pkwy & Imbrie Dr,northeast evergreen parkway & imbrie drive,Northbound stop in Hillsboro (Stop ID 10940),45.548962,-122.907871,B,http://trimet.org/#tracker/stop/10940,0,,North,Nearside
stops/10941,10941,10941,NE Evergreen Pkwy & Imbrie Dr,northeast evergreen parkway & imbrie drive,Southbound stop in Hillsboro (Stop ID 10941),45.549118,-122.90842,B,http://trimet.org/#tracker/stop/10941,0,,South,Nearside
stops/10952,10952,10952,SW Capitol & Huber,southwest capitol & huber,Southbound stop in Portland (Stop ID 10952),45.452928,-122.721665,B,http://trimet.org/#tracker/stop/10952,0,,South,Nearside
stops/10953,10953,10953,NE Grand & Wasco,northeast grand & wasco,Northbound stop in Portland (Stop ID 10953),45.532011,-122.660549,B,http://trimet.org/#tracker/stop/10953,0,,North,Nearside
stops/10957,10957,10957,NE Killingsworth & Garfield,northeast killings worth & garfield,Westbound stop in Portland (Stop ID 10957),45.562797,-122.662484,B,http://trimet.org/#tracker/stop/10957,0,,West,Nearside
