_from,_to,transfer_type
stops/4042,stops/5958,0
stops/4042,stops/9343,0
stops/4042,stops/10953,0
stops/4043,stops/4043,0
stops/4043,stops/5958,0
stops/4043,stops/8341,0
stops/4043,stops/9343,0
stops/4043,stops/10953,0
stops/4044,stops/4044,0
stops/4044,stops/9305,0
stops/4048,stops/6818,0
stops/4048,stops/6842,0
stops/4049,stops/6818,0
stops/4049,stops/6842,0
stops/4068,stops/1660,0
stops/4068,stops/1661,0
stops/4069,stops/1660,0
stops/4069,stops/1661,0
stops/4087,stops/5599,0
stops/4087,stops/5600,0
stops/4088,stops/5599,0
stops/4088,stops/5600,0
stops/4090,stops/8920,0
stops/4090,stops/8928,0
stops/4091,stops/8920,0
stops/4091,stops/8928,0
stops/4125,stops/310,0
stops/4161,stops/3335,0
stops/4161,stops/3352,0
stops/4164,stops/4164,0
stops/4171,stops/13459,0
stops/4208,stops/12402,0
stops/4317,stops/4318,0
stops/4318,stops/4318,0
stops/4343,stops/4343,0
stops/4343,stops/6083,0
stops/4343,stops/6090,0
stops/4369,stops/1019,0
stops/4369,stops/1020,0
stops/4370,stops/1019,0
stops/4370,stops/1020,0
stops/4429,stops/4429,0
stops/4431,stops/4431,0
stops/4434,stops/2317,0
stops/4434,stops/4435,0
stops/4435,stops/2317,0
stops/4435,stops/4434,0
stops/4435,stops/4435,0
stops/4437,stops/3535,0
stops/4437,stops/3563,0
stops/4455,stops/91,0
stops/4455,stops/92,0
stops/4456,stops/136,0
stops/4456,stops/137,0
stops/4462,stops/1259,0
stops/4462,stops/4463,0
stops/4463,stops/1259,0
stops/4463,stops/4462,0
stops/4463,stops/4463,0
stops/4470,stops/2221,0
stops/4470,stops/2222,0
stops/4471,stops/2221,0
stops/4471,stops/2222,0
stops/4473,stops/11502,0
stops/4473,stops/11513,0
stops/4474,stops/11502,0
stops/4474,stops/11513,0
stops/4494,stops/3537,0
stops/4494,stops/3538,0
stops/4495,stops/3537,0
stops/4495,stops/3538,0
stops/4502,stops/6284,0
stops/4522,stops/4523,0
stops/4522,stops/4618,0
stops/4523,stops/4522,0
stops/4537,stops/4537,0
stops/4537,stops/4538,0
stops/4537,stops/4539,0
stops/4537,stops/13792,0
stops/4538,stops/4537,0
stops/4538,stops/4538,0
stops/4538,stops/4539,0
stops/4538,stops/13792,0
stops/4539,stops/4537,0
stops/4539,stops/4538,0
stops/4539,stops/13792,0
stops/4545,stops/4545,0
stops/4546,stops/4546,0
stops/4572,stops/6655,0
stops/4572,stops/8843,0
stops/4573,stops/6655,0
stops/4573,stops/8843,0
stops/4575,stops/4575,0
stops/4583,stops/4583,0
stops/4583,stops/4584,0
stops/4584,stops/4583,0
stops/4586,stops/4583,0
stops/4609,stops/4609,0
stops/4617,stops/6942,0
stops/4618,stops/4522,0
stops/4618,stops/6942,0
stops/4627,stops/4627,0
stops/4627,stops/7227,0
stops/4627,stops/7228,0
stops/4651,stops/7476,0
stops/4651,stops/7477,0
stops/4653,stops/7476,0
stops/4653,stops/7477,0
